Code Rep;Code Clt;lib famille;lib sfam;cp cli liv;ville cli liv;date doc;Vte Facturées;Marge %(BA)
1;V00992;VITRAGE;PEINTURE, VERNIS, DURCISSEUR, PPS;95220;HERBLAY;23/06/2015;111.83;52.18
8;V00166;FREINAGE;DISQUE;95650;PUISEUX PONTOISE;09/04/2016;40;27.50
5;V00323;VITRAGE;DIVERS VITRAGE 0;95650;PUISEUX PONTOISE;29/03/2016;28.74;56.72
5;V00411;EMBRAYAGE;KIT EMBRAYAGE;;;24/09/2016;93.01;36.36
8;V00968;EQUIPEMENT ATELIER;OUTILLAGE;95310;ST OUEN L AUMONE;23/11/2016;3.99;27.82
5;V00411;ELECTRICITE;BOUGIE DE PRECHAUFFAGE;;;14/04/2015;0;0
8;V01050;LIQUIDE;HUILE MOTEUR;;;26/10/2017;51.60;4.36
7;V00739;FILTRATION;FILTRE A CARBURANT;95000;CERGY;28/03/2017;-49.28;21.73
1;V01122;FILTRATION;FILTRE HABITACLE;95310;ST OUEN L AUMONE;22/12/2016;6.28;29.30
7;V01271;ENTRAINEMENT;ALTERNATEUR;95520;OSNY;14/11/2017;186;36
7;V00641;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;PLAQUE D'IMMATRICULATION;95650;BOISSY L AILLERIE;07/11/2016;9;52.22
7;V00695;ELECTRICITE;CAPTEURS, SONDES;95450;CONDECOURT;05/10/2016;-44.16;51.25
5;V00411;DIVERS;CABLE;;;01/10/2016;74.19;36.37
